op_id,Mach,alt_ft,PC,time_s,dist_nm,T3_K,P3_Pa,FAR,mdot_air3_kg_s
1.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.205379160763142181e+02,6.292195333800659282e+05,1.700000000000000122e-02,9.166745852104762449e+00
2.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.034903372666988162e+02,1.093665265062251128e+06,1.338058676436149758e-02,7.335619870956333166e+00
3.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.195775205906170413e+02,1.198352521569396835e+06,1.443160632841087275e-02,7.849130270818737820e+00
4.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.362157745016157833e+02,1.311004089341981336e+06,1.551640649032613034e-02,8.388607100886751766e+00
5.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.618606921630458828e+02,1.472881329726955853e+06,1.721975339513301395e-02,9.105233872875448498e+00
6.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.826481145916366131e+02,9.557064087132902350e+05,1.184438677225144350e-02,6.648171787373727604e+00
7.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.036292816235112468e+02,1.095551426997428993e+06,1.313018844837260217e-02,7.379833596739088009e+00
8.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.195670293310956822e+02,1.200509039822390769e+06,1.417330114678174401e-02,7.896616762322799410e+00
9.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.357289101939391003e+02,1.313606809812680818e+06,1.522887787919854560e-02,8.444981892721180827e+00
1.000000000000000000e+01,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.606317606755990255e+02,1.476478549763353076e+06,1.688071184456639909e-02,9.176319403453042867e+00
1.100000000000000000e+01,4.000000000000000222e-01,0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.834165894680784277e+02,9.584893507949826308e+05,1.141717061986986977e-02,6.717567719605533227e+00
1.200000000000000000e+01,4.000000000000000222e-01,0.000000000000000000e+00,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.046482607369341622e+02,1.098046872647235403e+06,1.273080994311552409e-02,7.446551085138678694e+00
1.300000000000000000e+01,4.000000000000000222e-01,0.000000000000000000e+00,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.195815656331149057e+02,1.204863236153339734e+06,1.368769671672029689e-02,7.988347234591930857e+00
1.400000000000000000e+01,4.000000000000000222e-01,0.000000000000000000e+00,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.357390789479744626e+02,1.317987911245447118e+06,1.475603929200481647e-02,8.535928465387526032e+00
1.500000000000000000e+01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.586750110035325179e+02,1.482987604652340291e+06,1.627054182843749169e-02,9.306941627666590833e+00
1.600000000000000000e+01,5.500000000000000444e-01,0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.843950534656032687e+02,9.632121805943446234e+05,1.076928845925210348e-02,6.828268647386746437e+00
1.700000000000000000e+01,5.500000000000000444e-01,0.000000000000000000e+00,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.059582132415264368e+02,1.102398558318043360e+06,1.212709997200394837e-02,7.552282691818112070e+00
1.800000000000000000e+01,5.500000000000000444e-01,0.000000000000000000e+00,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.207953002724581211e+02,1.209716455277764937e+06,1.307760770104904498e-02,8.100927477458604642e+00
1.900000000000000000e+01,5.500000000000000444e-01,0.000000000000000000e+00,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.357921096686861802e+02,1.324974176467997255e+06,1.404949574045801647e-02,8.677975882553829123e+00
2.000000000000000000e+01,5.500000000000000444e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.576000737397313287e+02,1.491123345984900370e+06,1.550165104874571056e-02,9.471100139724889289e+00
2.100000000000000000e+01,1.000000000000000056e-01,7.500000000000000000e+03,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.542675589549148754e+02,7.273509871918241261e+05,1.157699809384117942e-02,5.150200187037198951e+00
2.200000000000000000e+01,1.000000000000000056e-01,7.500000000000000000e+03,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.749319180068450805e+02,8.345441204244385008e+05,1.281361907947683315e-02,5.720484848386803378e+00
2.300000000000000000e+01,1.000000000000000056e-01,7.500000000000000000e+03,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.905541820886592177e+02,9.155328711984353140e+05,1.380387676237704309e-02,6.128256381885342385e+00
2.400000000000000000e+01,1.000000000000000056e-01,7.500000000000000000e+03,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.068118414210669016e+02,1.002176127433222835e+06,1.484776272649143865e-02,6.550110068557198240e+00
2.500000000000000000e+01,1.000000000000000056e-01,7.500000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.315984996575921286e+02,1.126595623488188721e+06,1.646756872907431668e-02,7.114304204480381699e+00
2.600000000000000000e+01,2.500000000000000000e-01,7.500000000000000000e+03,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.546884862590648027e+02,7.283141969491242198e+05,1.136512002512858263e-02,5.177189389080749216e+00
2.700000000000000000e+01,2.500000000000000000e-01,7.500000000000000000e+03,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.749548270485898911e+02,8.359108084505120059e+05,1.257610610711810441e-02,5.754521583533425577e+00
2.800000000000000000e+01,2.500000000000000000e-01,7.500000000000000000e+03,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.905366517793436287e+02,9.171309228521093028e+05,1.356086536596805454e-02,6.164814653539092859e+00
2.900000000000000000e+01,2.500000000000000000e-01,7.500000000000000000e+03,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.061672283890660538e+02,1.004288410257491632e+06,1.456407403714197503e-02,6.596259023736671168e+00
3.000000000000000000e+01,2.500000000000000000e-01,7.500000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.303945154925645511e+02,1.129289117434340529e+06,1.614733063118460252e-02,7.169350019363222692e+00
3.100000000000000000e+01,4.000000000000000222e-01,7.500000000000000000e+03,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.554063024046946566e+02,7.303382795362838078e+05,1.096242230083389543e-02,5.230392886345451409e+00
3.200000000000000000e+01,4.000000000000000222e-01,7.500000000000000000e+03,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.758995742194459808e+02,8.375854609284708276e+05,1.220981464241802789e-02,5.803880595904725048e+00
3.300000000000000000e+01,4.000000000000000222e-01,7.500000000000000000e+03,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.905362852356083749e+02,9.203627419067104347e+05,1.310376856389026262e-02,6.235451420368934627e+00
3.400000000000000000e+01,4.000000000000000222e-01,7.500000000000000000e+03,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.061340427852430821e+02,1.007372655501757632e+06,1.411857447389790188e-02,6.666463931174846813e+00
3.500000000000000000e+01,4.000000000000000222e-01,7.500000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.284764489583642444e+02,1.134156915365904570e+06,1.557099910684400443e-02,7.270385347206152815e+00
3.600000000000000000e+01,5.500000000000000444e-01,7.500000000000000000e+03,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.568098698876835897e+02,7.361608412540352438e+05,1.038080470217586995e-02,5.329414423801124734e+00
3.700000000000000000e+01,5.500000000000000444e-01,7.500000000000000000e+03,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.771262013599539387e+02,8.407070793144288473e+05,1.164540520736671338e-02,5.884087023463751898e+00
3.800000000000000000e+01,5.500000000000000444e-01,7.500000000000000000e+03,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.915626289813970970e+02,9.239396018856129376e+05,1.253025398705309192e-02,6.322111796532357886e+00
3.900000000000000000e+01,5.500000000000000444e-01,7.500000000000000000e+03,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.061618305823980108e+02,1.012548759320916957e+06,1.345351822779441639e-02,6.775812314017445992e+00
4.000000000000000000e+01,5.500000000000000444e-01,7.500000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.272408684825585397e+02,1.140505168597423937e+06,1.483382613714395726e-02,7.400208416553597957e+00
4.100000000000000000e+01,1.000000000000000056e-01,1.500000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.260537105800095787e+02,5.458436920547792688e+05,1.108301177642105270e-02,3.954593485695217847e+00
4.200000000000000000e+01,1.000000000000000056e-01,1.500000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.460179209861991012e+02,6.269702175537749426e+05,1.226615752387553472e-02,4.395990062407677534e+00
4.300000000000000000e+01,1.000000000000000056e-01,1.500000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.611743552045032857e+02,6.888060687191453762e+05,1.318602597656115885e-02,4.716888603028194460e+00
4.400000000000000000e+01,1.000000000000000056e-01,1.500000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.768156556019278014e+02,7.536007148793909000e+05,1.415608149989800064e-02,5.047514973390143211e+00
4.500000000000000000e+01,1.000000000000000056e-01,1.500000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.009458565697977974e+02,8.488412786361562321e+05,1.571166854962769907e-02,5.482338859829814837e+00
4.600000000000000000e+01,2.500000000000000000e-01,1.500000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.264485563787578712e+02,5.465359542817017063e+05,1.088458815926724929e-02,3.974934538605242818e+00
4.700000000000000000e+01,2.500000000000000000e-01,1.500000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.459928152439875930e+02,6.281170570322514977e+05,1.203745074286821128e-02,4.422977699382107275e+00
4.800000000000000000e+01,2.500000000000000000e-01,1.500000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.611325232234206624e+02,6.898931430082431762e+05,1.296401364460332030e-02,4.743721271083209068e+00
4.900000000000000000e+01,2.500000000000000000e-01,1.500000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.760044816156994330e+02,7.551836912291262997e+05,1.387381615635278551e-02,5.084619774502108669e+00
5.000000000000000000e+01,2.500000000000000000e-01,1.500000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.997709768221260447e+02,8.508294075154700549e+05,1.541025851300202414e-02,5.524372555944998986e+00
5.100000000000000000e+01,4.000000000000000222e-01,1.500000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.275838633491467817e+02,5.497620146627178183e+05,1.053417458335793172e-02,4.025307975272562899e+00
5.200000000000000000e+01,4.000000000000000222e-01,1.500000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.468809353429489875e+02,6.293401276367129758e+05,1.169463633859455301e-02,4.460606588591097932e+00
5.300000000000000000e+01,4.000000000000000222e-01,1.500000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.610848074020237846e+02,6.921076792569895042e+05,1.254610436195681411e-02,4.795571386642335732e+00
5.400000000000000000e+01,4.000000000000000222e-01,1.500000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.761819338168660352e+02,7.584037207208167529e+05,1.347872785061407334e-02,5.134611705780175228e+00
5.500000000000000000e+01,4.000000000000000222e-01,1.500000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.979068309720246361e+02,8.544615248161788331e+05,1.486910586462369954e-02,5.601315501250009987e+00
5.600000000000000000e+01,5.500000000000000444e-01,1.500000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.279753847123437254e+02,5.505369929731390439e+05,9.932928751875560666e-03,4.079374238418312260e+00
5.700000000000000000e+01,5.500000000000000444e-01,1.500000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.480617433249948363e+02,6.317016375912105432e+05,1.116620078572378924e-02,4.521823763630997028e+00
5.800000000000000000e+01,5.500000000000000444e-01,1.500000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.615627084655318413e+02,6.930489029263245175e+05,1.197955743659866873e-02,4.866297331683190563e+00
5.900000000000000000e+01,5.500000000000000444e-01,1.500000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.761618259130195838e+02,7.620605167694450356e+05,1.286563024631534255e-02,5.215990684139931055e+00
6.000000000000000000e+01,5.500000000000000444e-01,1.500000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.964941671591841441e+02,8.592197677899679402e+05,1.416139742646865644e-02,5.702840253539605442e+00
6.100000000000000000e+01,1.000000000000000056e-01,2.250000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.975687494107152133e+02,4.026445626690485515e+05,1.058901740799941815e-02,2.988708013551443887e+00
6.200000000000000000e+01,1.000000000000000056e-01,2.250000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.168391633084122532e+02,4.631658306750768679e+05,1.171942260956713479e-02,3.326013415571724252e+00
6.300000000000000000e+01,1.000000000000000056e-01,2.250000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.310235894844541917e+02,5.080808914049600717e+05,1.256924196381244835e-02,3.574690988496332267e+00
6.400000000000000000e+01,1.000000000000000056e-01,2.250000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.468320706402713540e+02,5.583914078911112156e+05,1.351195519680500022e-02,3.823234426064903158e+00
6.500000000000000000e+01,1.000000000000000056e-01,2.250000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.703595545743404500e+02,6.291063299331393791e+05,1.496180764518246879e-02,4.158644362462373678e+00
6.600000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.979325864992645165e+02,4.031191481637780089e+05,1.040382240776037415e-02,3.003751042310230712e+00
6.700000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.167944026222525054e+02,4.639472998015985359e+05,1.150586421315134313e-02,3.346029494925863546e+00
6.800000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.309835843936322135e+02,5.088785022320986609e+05,1.235874359315486393e-02,3.594751984440672121e+00
6.900000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.459991109642512583e+02,5.595583040065796813e+05,1.325469689123405341e-02,3.850716120519785068e+00
7.000000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.687471638581735078e+02,6.303083250303053064e+05,1.467073661164775347e-02,4.191323242788185688e+00
7.100000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.985514321666458386e+02,4.041378897743269918e+05,1.004944191179619334e-02,3.033555207649311303e+00
7.200000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.175719878332929511e+02,4.648952286088374676e+05,1.117839619459025033e-02,3.374871525234063974e+00
7.300000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.309347296953762907e+02,5.104925634575629956e+05,1.196462485068310044e-02,3.633368146917072217e+00
7.400000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.458087683302695723e+02,5.611287807048875839e+05,1.286686003840529363e-02,3.890327120621061674e+00
7.500000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.669312361936798652e+02,6.329329598688709084e+05,1.416230854254185538e-02,4.249135389685900321e+00
7.600000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.993217506349425321e+02,4.058856078309926670e+05,9.510381588582372120e-03,3.081514442283193933e+00
7.700000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.186788148611946099e+02,4.665660574000602937e+05,1.068398561929113574e-02,3.420353714690569369e+00
7.800000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.320183473430163303e+02,5.135633765879732673e+05,1.147767395040031821e-02,3.680366058587258404e+00
7.900000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.457535091547798629e+02,5.636921244142269716e+05,1.229886520949410693e-02,3.950328277056310622e+00
8.000000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.653631345113768703e+02,6.364718343357533449e+05,1.348664725256406259e-02,4.327127944312938013e+00
8.100000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.687970480397782467e+02,2.912596755239841877e+05,1.009512609314252955e-02,2.218438926114980170e+00
8.200000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.873536736157676046e+02,3.356252864007239114e+05,1.117117793899887433e-02,2.472127919597439938e+00
8.300000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.012943991731319784e+02,3.693819256667803274e+05,1.199224715997454158e-02,2.656868166067388959e+00
8.400000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.161997688161309270e+02,4.052969744648899650e+05,1.286950989677317254e-02,2.845382562017923167e+00
8.500000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.395357386505348813e+02,4.575423282457366004e+05,1.421075385560299081e-02,3.099589639493732562e+00
8.600000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.691409813521132151e+02,2.916007791295914794e+05,9.922888637905361714e-03,2.229421592853893408e+00
8.700000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.873024512017089478e+02,3.361693242941295612e+05,1.097204087116487349e-02,2.486730246942087330e+00
8.800000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.012406116639031666e+02,3.699203791439558263e+05,1.179841710283665093e-02,2.671497057294895949e+00
8.900000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.153951505188722422e+02,4.061142981288191513e+05,1.262926789896009518e-02,2.865535605161657173e+00
9.000000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.372992086283343269e+02,4.581229430624133092e+05,1.393347128168350400e-02,3.124437117799016228e+00
9.100000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.697764461932790709e+02,2.924648682975550764e+05,9.592362572043091826e-03,2.253692973464835436e+00
9.200000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.879621179934475208e+02,3.368583808992513805e+05,1.066116382265158355e-02,2.508356475663118257e+00
9.300000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.011656250091128868e+02,3.710190491013786523e+05,1.143360283897465642e-02,2.699747497461069567e+00
9.400000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.150687518692634512e+02,4.072634928712673718e+05,1.225841605638396808e-02,2.895531769856359627e+00
9.500000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.355032039574055034e+02,4.599019349355377490e+05,1.347204007164570436e-02,3.165933904283665168e+00
9.600000000000000000e+01,5.500000000000000444e-01,3.000000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.706104749057219010e+02,2.934635473880378995e+05,9.103158573455776004e-03,2.284461670277565748e+00
9.700000000000000000e+01,5.500000000000000444e-01,3.000000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.889871846424511546e+02,3.379986346772327670e+05,1.019995056500554165e-02,2.541467905386421755e+00
9.800000000000000000e+01,5.500000000000000444e-01,3.000000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.017597181935063304e+02,3.724112328374019708e+05,1.094784630841789778e-02,2.737153983241224608e+00
9.900000000000000000e+01,5.500000000000000444e-01,3.000000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.149929210190888398e+02,4.090529165876710322e+05,1.172856913610866719e-02,2.939434387121587111e+00
1.000000000000000000e+02,5.500000000000000444e-01,3.000000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.337780799402512457e+02,4.623691269525061944e+05,1.284737726097778115e-02,3.223093943636668790e+00
